Line,Description,SKU,Qty,List Price (USD),Unit Price (USD),Line Total (USD)
1,"GripForce Gecko Wheel (8mm REX Bore, 48mm Diameter, 15A Durometer)",3632-4008-0048,16,7.99,5.99,95.84
2,4-Bar Odometry Pod (32mm Wheel),3110-0001-0002,2,99.99,74.99,149.98
3,"2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX Bore, 20 Tooth)",2303-4008-0020,4,10.59,7.94,31.76
4,"2302 Series Aluminum, MOD 0.8, Hub Mount Gear (14mm Bore, 80 Tooth)",2302-0014-0080,4,13.79,10.34,41.36
5,"1516 Series 8mm REX Standoff (M4 x 0.7mm Threads, 64mm Length) - 4 Pack",1516-4008-0640,4,6.99,5.24,20.96
6,"1106 Series Square Beam (8 Hole, 64mm Length)",1106-0008-0064,8,3.79,2.84,22.72
7,"1502 Series 4mm ID Spacer (6mm OD, 16mm Length) - 4 Pack",1502-0006-0160,4,2.69,2.02,8.08
8,"1502 Series 4mm ID Spacer (6mm OD, 14mm Length) - 4 Pack",1502-0006-0140,4,2.59,1.94,7.76
9,8mm Bore Face Thru-Hole Pillow Block (32mm x 32mm Mounting Pattern),1603-0032-0008,4,6.99,5.24,20.96
10,"5203 Series Yellow Jacket Planetary Gear Motor (3.7:1 Ratio, 24mm Length 8mm REX Shaft, 1620 RPM, 3.3 - 5V Encoder)",5203-2402-0003,2,54.99,41.24,82.48
11,"2mm Pitch GT2 Pinion Timing Pulley (8mm REX Bore, 30 Tooth)",3422-4008-0030,2,8.99,6.74,13.48
12,"Hogback Traction Wheel (72mm Diameter, 50A Durometer)",3626-0014-0072,2,8.99,6.74,13.48
13,"Steel Flywheel (60mm Diameter, 115g, 551 g-cm2)",3628-0014-0060,2,12.99,9.74,19.48
14,5000 Series 12VDC Motor with 8mm REX Pinion Shaft,5000-0002-4008,2,29.99,22.49,44.98
